SED_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
SED10011,0,34,0,34,..,19,0,17,0,19,..,39,0,39,0,39,..,5,0,5,0,5,..,89,0,90,0,91,..,199,7,206,4,210,..,9,0,9,0,9,..,39,5,50,0,46,..,11,0,11,0,11,..,55,9,64,0,65,..,427,52,478,21,500,..,1927,158,2089,40,2129,..,92,4,99,1132,1228,31614,2017,162,2178,1171,34967,33361,..,..,..,..,33361,..,21,0,21,0,21,..,71,4,79,0,79,..,48,0,48,0,48,..,64,13,70,0,70,..,112,24,132,0,137,..,10,0,10,0,10,..,183,36,215,0,216,..,29,3,31,0,31,..,124,0,127,3,125,..,191,3,196,0,196,..,78,0,78,0,78,..,3,0,3,0,6,..,3,0,3,0,3,..,47,0,45,0,51,..,14,4,14,0,14,..,13,0,13,0,13,..,10,0,8,0,8,..,3,0,3,0,3,..,5,0,13
SED10012,7,91,0,91,..,48,7,55,0,59,..,178,7,187,0,187,..,54,12,62,3,65,..,372,28,402,0,406,..,545,122,661,0,664,..,29,4,36,0,36,..,157,115,271,0,271,..,119,30,151,0,151,..,7378,3977,11351,71,11423,..,3353,1067,4419,41,4456,..,20291,8558,28848,204,29054,..,323,124,451,2271,2717,9784,20615,8682,29296,2471,41549,8699,..,..,..,..,8699,..,0,0,0,0,0,..,1542,523,2065,16,2085,..,0,0,3,0,3,..,1155,1030,2185,28,2204,..,531,566,1093,5,1100,..,466,316,786,0,785,..,2150,1904,4057,38,4093,..,395,162,560,0,560,..,43,4,40,0,40,..,30,0,31,3,34,..,137,27,168,0,168,..,18,0,24,0,24,..,3,0,3,0,9,..,225,22,247,0,247,..,12,0,12,0,12,..,18,0,18,0,18,..,9,0,9,0,9,..,57,8,66,0,64,..,29,0,28
SED10013,4,194,4,198,..,106,12,114,3,123,..,339,6,345,4,352,..,45,5,48,0,48,..,679,27,703,9,711,..,808,80,887,14,901,..,159,8,161,0,165,..,84,19,107,4,108,..,155,20,179,3,183,..,276,79,349,10,363,..,2134,281,2412,54,2470,..,13160,1439,14600,213,14808,..,277,55,330,2234,2560,47309,13440,1495,14929,2445,64679,48151,..,..,..,..,48151,..,84,5,91,0,91,..,1535,193,1728,13,1738,..,16,0,16,0,16,..,255,152,404,0,405,..,418,173,592,4,594,..,36,6,44,0,44,..,703,339,1040,8,1046,..,322,32,356,4,363,..,96,3,105,0,105,..,94,6,100,0,101,..,327,27,356,4,359,..,379,26,409,3,408,..,90,12,93,4,96,..,898,60,957,4,963,..,568,65,636,9,645,..,593,71,662,10,679,..,98,7,106,0,107,..,607,33,638,0,639,..,131,6,138
SED10014,12,278,0,275,..,138,9,147,0,147,..,443,22,459,0,460,..,73,6,79,0,83,..,910,48,960,5,964,..,527,84,611,3,610,..,92,0,92,3,98,..,96,31,128,0,127,..,31,9,41,0,41,..,255,63,317,3,325,..,1317,240,1557,25,1584,..,9514,1261,10770,109,10886,..,234,41,277,2518,2793,27412,9747,1298,11048,2627,41085,28156,..,..,..,..,28156,..,44,0,44,0,44,..,1304,298,1599,7,1610,..,32,0,32,0,31,..,122,69,189,0,194,..,269,107,375,5,376,..,34,3,38,0,38,..,421,189,606,4,608,..,100,14,109,0,109,..,86,8,87,0,93,..,58,0,60,0,59,..,204,22,225,0,232,..,638,82,720,8,730,..,40,8,50,0,50,..,554,44,594,0,599,..,306,37,344,8,352,..,236,40,271,3,274,..,116,3,123,0,126,..,351,26,379,0,377,..,71,12,74
SED10015,4,201,7,210,..,510,59,574,8,578,..,387,16,403,8,409,..,64,16,87,0,87,..,1166,99,1257,19,1281,..,556,63,619,11,631,..,60,3,69,0,69,..,142,72,212,3,217,..,170,39,213,4,219,..,1142,405,1548,7,1556,..,986,204,1188,37,1230,..,20411,6302,26714,262,26971,..,262,80,343,2724,3062,17098,20665,6385,27050,2983,47136,15999,..,..,..,..,15999,..,6,0,6,0,6,..,3155,569,3724,17,3743,..,23,0,23,0,23,..,1320,926,2237,10,2253,..,2134,2113,4251,42,4290,..,103,79,179,0,179,..,3550,3122,6668,54,6727,..,70,9,83,0,82,..,115,4,116,3,117,..,53,3,56,5,60,..,3757,1139,4896,18,4918,..,395,51,445,6,449,..,26,0,26,0,26,..,282,18,298,0,301,..,1216,92,1304,10,1315,..,122,18,138,0,141,..,33,0,35,0,35,..,254,18,269,3,276,..,42,0,42
SED10016,0,320,5,320,..,257,22,275,0,280,..,523,8,536,3,542,..,46,0,46,0,46,..,1144,29,1173,7,1184,..,398,23,419,3,425,..,551,14,565,4,567,..,56,10,65,0,65,..,110,11,122,0,122,..,141,19,163,0,167,..,1390,106,1492,41,1532,..,16598,1833,18434,188,18624,..,226,30,257,1145,1404,31150,16824,1867,18691,1334,51175,31062,..,..,..,..,31062,..,316,5,321,3,320,..,1058,73,1134,0,1135,..,4,0,4,0,4,..,1102,302,1405,13,1415,..,2717,1003,3718,28,3747,..,107,22,131,4,133,..,3922,1329,5258,45,5299,..,154,16,172,0,176,..,84,0,84,0,87,..,81,0,81,0,83,..,237,21,259,0,259,..,276,17,289,0,294,..,446,30,478,8,481,..,1342,48,1396,7,1397,..,231,24,255,4,259,..,801,79,884,5,884,..,531,25,559,0,561,..,710,31,745,4,747,..,195,17,211
SED10017,0,30,0,31,..,13,3,13,0,13,..,44,0,44,0,44,..,11,6,16,0,18,..,101,9,106,3,105,..,66,8,66,0,66,..,32,0,32,0,32,..,33,21,54,0,54,..,11,0,15,0,15,..,29,30,54,0,57,..,238,56,291,10,303,..,1429,220,1649,25,1675,..,117,15,136,3356,3487,38645,1547,239,1782,3380,43812,40077,..,..,..,..,40077,..,51,0,51,0,51,..,39,4,44,0,45,..,42,5,42,0,42,..,45,13,60,0,60,..,78,28,106,0,104,..,0,0,4,0,4,..,127,44,170,0,170,..,12,0,12,0,12,..,26,3,24,0,28,..,57,0,56,0,59,..,22,3,27,0,27,..,20,0,26,0,22,..,43,4,46,0,46,..,44,7,55,0,55,..,51,5,55,0,58,..,50,4,53,0,57,..,28,0,28,0,28,..,58,3,60,0,63,..,18,0,18
SED10018,0,8,0,8,..,23,7,28,0,28,..,28,0,25,0,25,..,13,0,17,0,17,..,69,8,79,0,79,..,92,9,105,0,106,..,29,0,28,0,28,..,24,14,40,0,40,..,0,4,4,0,4,..,33,13,43,0,43,..,288,40,333,20,350,..,1925,256,2181,35,2213,..,110,11,112,1201,1321,33428,2037,258,2296,1240,36967,35092,..,..,..,..,35092,..,48,0,48,0,48,..,53,4,53,5,58,..,23,0,23,0,23,..,86,31,117,0,117,..,157,47,199,0,204,..,17,5,19,0,19,..,258,77,336,0,339,..,15,0,23,0,23,..,71,0,67,4,72,..,103,5,107,0,109,..,83,10,90,0,94,..,14,0,18,0,18,..,9,0,9,0,9,..,50,4,49,0,53,..,49,0,51,3,54,..,42,3,47,0,50,..,10,0,10,0,10,..,12,0,17,0,17,..,6,0,6
SED10019,3,8,0,8,..,7,0,7,0,7,..,21,3,30,0,32,..,9,0,6,0,6,..,45,11,56,0,57,..,32,3,34,0,34,..,6,0,6,0,6,..,13,0,17,0,17,..,5,0,5,0,5,..,13,0,15,0,15,..,255,14,269,9,277,..,784,75,858,16,877,..,110,13,119,3800,3923,33891,894,85,976,3820,38691,34872,..,..,..,..,34872,..,26,0,26,0,26,..,3,0,3,0,3,..,122,4,124,0,124,..,20,10,28,0,28,..,51,23,74,0,71,..,0,0,0,0,0,..,70,28,103,0,104,..,0,0,0,0,0,..,27,0,31,0,31,..,73,3,78,4,78,..,19,0,20,0,20,..,3,0,3,0,3,..,0,0,0,0,0,..,16,0,10,0,10,..,22,0,20,0,20,..,56,8,63,0,63,..,0,0,0,0,0,..,3,0,6,0,6,..,3,0,3
SED10020,0,28,0,28,..,20,4,23,0,23,..,33,0,37,0,39,..,51,19,70,0,72,..,133,19,160,5,159,..,115,13,126,0,125,..,12,0,12,0,12,..,23,0,27,0,27,..,8,0,8,0,8,..,30,6,43,0,42,..,783,318,1102,26,1128,..,2710,667,3377,59,3439,..,128,15,142,2191,2337,32240,2837,686,3522,2247,38010,34550,..,..,..,..,34550,..,50,0,50,0,50,..,73,20,94,0,94,..,98,0,103,4,107,..,41,19,56,0,56,..,131,77,207,6,208,..,12,0,9,0,9,..,180,96,278,3,284,..,3,0,9,0,9,..,88,0,92,0,92,..,143,10,153,0,160,..,28,0,28,0,28,..,5,0,5,0,5,..,9,0,9,0,9,..,35,0,35,0,35,..,34,3,39,0,42,..,717,164,884,9,886,..,11,0,15,0,15,..,9,0,9,0,9,..,9,0,9
SED10021,6,46,0,46,..,85,7,95,0,95,..,93,9,98,0,97,..,39,0,43,0,43,..,259,25,276,0,276,..,716,44,762,13,773,..,19,0,23,0,25,..,59,18,75,0,75,..,54,3,59,0,59,..,93,6,100,0,100,..,792,59,844,16,867,..,6481,536,7018,70,7091,..,121,4,129,2098,2226,30032,6606,537,7141,2168,39337,32102,..,..,..,..,32102,..,35,0,33,4,34,..,166,12,177,0,181,..,7,0,7,0,7,..,378,67,446,0,449,..,674,136,810,8,811,..,46,12,60,0,60,..,1102,219,1316,6,1323,..,64,4,73,0,77,..,688,30,723,3,726,..,358,12,368,0,371,..,597,83,682,4,686,..,27,0,31,0,31,..,13,0,13,0,13,..,85,0,89,0,89,..,26,0,26,0,25,..,12,0,12,0,12,..,20,0,20,0,20,..,3,0,3,0,6,..,27,0,27
SED10022,0,57,0,57,..,3,0,3,0,3,..,44,0,45,0,45,..,17,11,28,0,28,..,124,11,138,0,138,..,27,6,35,0,35,..,4,0,11,0,11,..,4,0,8,0,8,..,7,0,9,0,9,..,15,13,24,0,24,..,281,42,324,11,336,..,1101,251,1353,21,1373,..,103,3,111,3399,3511,31427,1203,257,1459,3424,36314,32279,..,..,..,..,32279,..,30,0,30,0,32,..,149,28,176,0,175,..,69,4,73,0,73,..,24,10,36,0,36,..,53,74,133,0,133,..,0,6,9,0,9,..,79,95,175,0,175,..,12,3,15,0,15,..,10,0,11,0,9,..,39,0,42,3,47,..,28,7,33,0,34,..,9,3,10,0,10,..,3,0,3,0,3,..,19,0,20,0,20,..,26,0,26,0,26,..,36,9,44,5,44,..,9,0,14,0,14,..,15,0,15,0,16,..,4,0,4
SED10023,0,19,0,19,..,32,0,32,0,32,..,31,4,33,0,36,..,7,0,7,0,7,..,90,4,91,0,94,..,218,23,239,5,242,..,3,0,3,0,3,..,35,5,40,0,42,..,21,0,21,0,21,..,56,4,62,0,62,..,354,47,399,11,415,..,3031,311,3348,48,3397,..,96,5,98,1181,1285,33865,3132,314,3448,1230,38544,34397,..,..,..,..,34397,..,36,0,36,0,36,..,135,21,150,0,150,..,5,0,5,0,5,..,161,53,211,0,211,..,304,91,391,0,396,..,21,0,22,0,22,..,483,144,622,6,627,..,97,8,105,4,109,..,114,0,119,0,118,..,142,5,145,0,141,..,442,48,489,0,488,..,9,0,9,0,9,..,10,0,10,0,10,..,19,0,19,0,19,..,17,0,17,0,17,..,10,0,13,0,13,..,7,0,8,0,8,..,10,0,14,0,14,..,5,0,5
SED10024,0,27,0,27,..,85,5,91,0,91,..,40,4,49,0,48,..,17,0,17,0,17,..,173,8,176,0,180,..,242,20,263,6,264,..,83,3,86,0,86,..,57,17,77,0,77,..,29,0,33,0,33,..,71,9,86,0,86,..,933,68,998,23,1020,..,9653,1406,11061,99,11157,..,102,16,118,776,896,27328,9756,1421,11179,879,39384,27477,..,..,..,..,27477,..,146,0,146,0,146,..,109,7,115,0,117,..,0,0,0,0,0,..,1839,354,2196,9,2208,..,3646,1102,4749,33,4785,..,100,28,123,0,125,..,5589,1485,7074,39,7118,..,74,4,76,0,76,..,226,3,236,3,235,..,251,3,255,0,255,..,157,9,167,0,167,..,35,0,35,0,35,..,52,0,52,0,48,..,198,7,202,4,204,..,40,5,44,0,44,..,90,0,100,0,94,..,67,0,67,0,67,..,38,0,38,4,40,..,40,0,40
SED10025,3,85,0,85,..,111,3,118,0,118,..,101,3,107,0,107,..,24,0,24,0,24,..,321,11,335,0,335,..,463,25,494,3,495,..,115,4,121,0,121,..,54,14,63,0,64,..,178,19,198,7,197,..,243,25,269,3,273,..,561,125,684,27,715,..,12023,1911,13935,143,14084,..,136,27,173,1407,1575,23442,12163,1945,14108,1551,39098,24105,..,..,..,..,24105,..,26,0,32,0,32,..,723,74,794,5,805,..,7,0,7,0,7,..,1334,323,1661,12,1669,..,2902,939,3842,23,3868,..,104,31,140,0,137,..,4344,1297,5639,36,5679,..,140,18,155,0,155,..,124,4,126,3,133,..,112,0,113,3,113,..,781,134,913,0,921,..,63,0,66,0,66,..,65,4,69,0,69,..,391,14,406,4,410,..,95,3,94,0,96,..,57,3,62,0,65,..,47,5,46,0,50,..,78,3,82,0,87,..,56,4,61
SED10026,4,65,0,65,..,13,0,12,0,12,..,88,7,93,0,93,..,11,6,15,0,15,..,174,14,189,0,189,..,70,4,72,0,68,..,40,8,41,0,44,..,23,6,31,0,31,..,0,0,0,0,0,..,29,4,34,0,34,..,374,50,418,4,425,..,2215,229,2443,30,2475,..,126,12,136,4208,4345,34167,2341,238,2577,4239,40985,35489,..,..,..,..,35489,..,41,0,41,0,41,..,49,4,51,0,51,..,115,0,110,0,115,..,40,17,63,0,63,..,83,24,116,0,115,..,4,3,3,0,8,..,129,49,180,3,181,..,4,0,9,0,9,..,29,0,29,0,28,..,37,0,40,0,40,..,29,5,32,0,32,..,77,5,88,0,88,..,45,4,55,0,55,..,74,5,77,0,77,..,362,30,394,4,395,..,167,17,183,0,185,..,61,0,61,0,63,..,69,11,77,0,77,..,13,0,13
SED10027,4,105,0,105,..,260,32,288,7,295,..,178,3,180,3,181,..,49,6,58,0,58,..,594,41,636,8,644,..,278,24,304,3,305,..,33,0,36,0,36,..,54,20,68,3,73,..,77,15,94,0,92,..,2056,732,2786,22,2806,..,654,123,780,31,809,..,14845,2796,17640,163,17808,..,152,42,192,1934,2126,20929,14998,2836,17832,2094,40860,20917,..,..,..,..,20917,..,15,0,15,0,15,..,4594,737,5334,34,5364,..,13,0,13,0,13,..,950,418,1366,10,1375,..,1039,563,1598,17,1617,..,60,17,86,0,86,..,2051,998,3046,23,3075,..,112,17,132,0,132,..,75,6,76,0,76,..,63,6,69,0,69,..,1338,230,1564,12,1571,..,113,7,124,0,123,..,22,0,26,0,26,..,238,10,247,3,254,..,213,15,222,0,228,..,202,27,229,4,234,..,33,4,32,0,32,..,251,27,281,0,276,..,60,3,63
SED10028,3,128,0,128,..,219,13,225,0,225,..,141,0,139,0,139,..,39,0,43,0,43,..,514,23,538,0,538,..,205,14,219,4,225,..,803,20,823,5,827,..,56,16,75,0,74,..,54,3,58,0,58,..,208,26,228,0,228,..,942,110,1046,28,1074,..,18664,2934,21594,168,21761,..,167,26,186,1093,1287,19788,18829,2954,21784,1266,42836,20085,..,..,..,..,20085,..,135,0,132,0,135,..,311,33,342,3,341,..,0,0,0,0,0,..,3552,796,4348,21,4371,..,5844,1865,7703,60,7767,..,212,58,274,0,277,..,9610,2712,12326,79,12411,..,66,5,69,0,69,..,71,0,78,0,80,..,85,0,83,0,83,..,100,17,119,6,117,..,232,13,241,5,243,..,186,7,194,0,198,..,1276,36,1314,9,1322,..,118,0,120,0,117,..,236,13,252,0,252,..,491,20,514,4,516,..,373,10,382,6,387,..,302,9,307
SED10029,4,114,0,114,..,68,5,74,3,76,..,218,10,231,6,235,..,61,3,63,0,64,..,456,26,483,9,489,..,697,185,884,6,895,..,25,7,25,0,25,..,99,54,158,4,159,..,218,42,255,0,255,..,5554,2628,8179,49,8231,..,5442,2577,8011,73,8090,..,22553,9364,31915,244,32156,..,440,173,611,3010,3617,10463,22991,9535,32529,3252,46236,9299,..,..,..,..,9299,..,3,0,3,0,3,..,4561,1943,6503,41,6543,..,7,0,7,0,6,..,910,737,1641,6,1653,..,568,565,1130,9,1140,..,412,250,658,3,665,..,1894,1541,3434,21,3455,..,249,73,326,0,325,..,44,8,47,0,47,..,36,3,35,0,35,..,99,38,133,3,138,..,34,5,34,0,34,..,8,7,11,0,13,..,222,10,231,0,231,..,45,6,49,0,49,..,38,5,46,0,46,..,15,0,15,0,15,..,113,20,133,0,130,..,39,0,36
SED10030,0,93,3,95,..,43,4,46,0,46,..,101,3,98,0,99,..,34,6,40,0,44,..,263,17,277,6,287,..,236,25,269,7,270,..,43,0,43,0,41,..,64,23,87,0,87,..,23,0,31,0,31,..,54,9,63,0,63,..,533,64,596,25,623,..,3388,465,3852,64,3912,..,143,22,165,1963,2124,32071,3529,489,4021,2022,38109,33783,..,..,..,..,33783,..,54,0,54,0,54,..,105,3,107,0,114,..,26,0,30,0,30,..,128,58,185,0,185,..,355,140,497,4,498,..,13,0,16,0,16,..,495,196,693,4,693,..,37,0,36,0,36,..,102,8,106,0,103,..,118,3,119,0,121,..,99,25,124,3,128,..,33,7,43,0,43,..,33,6,34,0,34,..,91,6,99,0,99,..,141,0,147,0,147,..,85,17,104,5,105,..,16,0,20,0,20,..,29,0,34,0,31,..,16,0,22
SED10031,0,46,0,46,..,22,0,22,0,22,..,44,0,50,0,46,..,23,0,23,0,23,..,131,3,138,0,141,..,74,6,83,0,82,..,14,0,19,0,19,..,26,9,43,0,42,..,13,3,19,0,19,..,28,10,35,0,38,..,309,44,354,10,359,..,1838,245,2083,28,2112,..,84,10,96,3015,3109,35473,1920,258,2177,3039,40699,36360,..,..,..,..,36360,..,39,0,40,0,40,..,62,7,71,5,70,..,26,0,26,0,26,..,51,13,62,0,62,..,123,39,158,4,165,..,4,0,4,0,4,..,176,55,231,4,232,..,33,0,35,3,41,..,61,5,63,0,63,..,104,5,105,0,110,..,102,11,112,3,114,..,22,3,27,0,27,..,4,0,4,0,4,..,45,0,44,0,44,..,121,12,133,0,137,..,56,9,59,0,59,..,18,0,18,0,21,..,24,0,23,0,23,..,7,0,11
SED10032,9,272,4,273,..,138,15,154,0,159,..,452,15,467,6,471,..,104,13,122,0,122,..,959,48,1008,9,1016,..,318,48,363,3,367,..,1231,93,1330,22,1347,..,61,32,92,0,92,..,778,200,978,9,984,..,453,141,595,4,596,..,4905,972,5879,115,5988,..,27861,5473,33330,339,33672,..,442,142,580,4250,4829,14836,28305,5611,33914,4585,53334,14026,..,..,..,..,14026,..,7,0,7,0,7,..,7047,1450,8494,43,8541,..,8,0,8,0,8,..,825,581,1408,8,1413,..,1254,1077,2333,22,2357,..,69,55,125,0,128,..,2152,1714,3868,27,3896,..,288,63,354,0,354,..,67,0,70,5,73,..,25,3,24,0,24,..,280,87,368,5,371,..,357,35,390,3,392,..,688,77,763,10,772,..,1389,78,1465,8,1474,..,1708,108,1816,13,1822,..,577,78,651,4,651,..,90,5,93,0,94,..,824,97,922,11,930,..,321,22,343
SED10033,0,32,0,38,..,4,0,3,0,3,..,41,0,41,0,41,..,8,0,8,0,8,..,86,6,85,0,89,..,98,9,104,0,107,..,16,0,19,0,21,..,24,3,28,0,28,..,17,0,23,0,23,..,25,6,29,0,29,..,622,65,681,12,693,..,2612,323,2928,23,2955,..,106,21,120,1622,1748,34307,2708,342,3047,1649,39002,34201,..,..,..,..,34201,..,52,0,56,0,56,..,242,27,265,0,265,..,28,0,28,0,28,..,79,57,129,0,136,..,146,49,195,8,196,..,10,0,10,0,10,..,235,110,340,10,347,..,78,5,81,3,86,..,48,0,50,0,50,..,100,3,98,0,101,..,63,19,80,0,76,..,18,0,18,0,18,..,15,0,18,0,21,..,75,0,79,0,76,..,60,0,57,0,57,..,166,16,179,0,179,..,20,0,17,0,17,..,31,0,30,0,30,..,13,0,13
SED10034,3,54,0,54,..,41,4,40,0,49,..,49,0,49,0,53,..,7,0,7,0,7,..,151,6,160,0,163,..,253,15,268,0,272,..,28,3,33,0,33,..,47,17,67,0,67,..,26,3,29,0,29,..,64,8,67,0,67,..,327,55,378,14,394,..,3085,355,3436,42,3484,..,104,3,108,973,1081,33516,3188,361,3544,1021,38080,34142,..,..,..,..,34142,..,53,0,53,0,53,..,201,26,229,3,231,..,14,0,14,0,14,..,190,43,238,0,239,..,346,97,445,4,446,..,22,7,29,0,29,..,560,149,710,4,717,..,45,9,55,0,55,..,82,0,82,0,89,..,142,0,142,0,143,..,330,26,357,4,358,..,23,0,24,0,24,..,25,7,30,0,30,..,60,3,65,0,65,..,55,0,57,0,56,..,12,0,12,0,11,..,14,0,14,0,14,..,12,0,12,0,12,..,20,0,20
