SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED23205,30680,32310,62994,1769,1738,3513,3782,3632,7412,1841,1648,3489,1778,1735,3514,4284,4356,8640,4055,4365,8418,4055,4269,8325,3728,3903,7627,2983,3369,6352,1755,2169,3922,652,1126,1776,29697,31318,61015,989,988,1979,390,399,784,15,20,35,16,19,34,418,432,859,22168,23062,45228,6526,7334,13860,25471,26448,51918,3147,3867,7015,26316,27669,53986,542,525,1063,3493,3371,6859,1398,1279,2678,587,748,1332,805,1545,2351,12448,14665,27108,3617,3342,6959,4208,3902,8109,1758,1627,3385,988,1181,2170,113,116,229,28074,29644,57724,2492,2591,5083
SED23308,32320,34746,67063,1916,1797,3719,3771,3511,7281,1760,1618,3381,2306,2300,4608,5259,5396,10653,4215,4499,8718,3961,4364,8322,3806,4309,8118,3097,3650,6745,1603,2223,3832,612,1068,1688,31071,33521,64589,1250,1224,2472,408,421,829,15,21,33,10,8,17,431,450,882,25546,27679,53226,5206,5546,10751,27319,29719,57040,3421,3539,6963,28098,30728,58829,600,532,1133,3546,3327,6876,1378,1330,2707,887,1063,1952,1331,1846,3179,14696,17291,31988,3829,3675,7502,3606,3503,7108,1638,1763,3398,1119,1347,2457,145,166,307,30057,32432,62488,2267,2291,4559
SED23402,41294,43013,84305,3026,3023,6051,6138,5781,11920,2731,2513,5244,2655,2505,5153,5845,6352,12192,5922,6214,12138,5245,5659,10902,4412,4660,9074,3111,3523,6636,1712,1986,3701,512,790,1303,40214,41882,82097,1082,1133,2215,276,298,570,18,9,29,12,7,17,302,314,616,29363,30552,59913,10114,10572,20692,32166,33312,65481,7232,7701,14937,35803,37132,72936,906,929,1835,5757,5432,11188,2170,2091,4259,961,1029,1987,1095,2032,3129,17046,20450,37492,4624,4161,8794,5525,4667,10192,2096,1800,3903,1077,1156,2225,130,180,307,39179,40643,79825,1831,2144,3976
SED23502,31494,32402,63901,1550,1440,2991,3601,3493,7099,1665,1532,3198,1316,1211,2521,2921,3139,6056,2934,3243,6177,3451,3887,7336,4805,5163,9968,5544,5297,10844,2944,2938,5880,766,1055,1826,29609,30784,60387,1891,1624,3513,948,950,1893,11,11,24,10,11,17,967,972,1935,25447,26046,51499,3343,3695,7038,28000,28801,56804,1100,1266,2364,28029,28824,56854,438,394,837,3240,3175,6411,1069,1068,2139,188,305,495,405,1120,1528,8707,11630,20336,4450,4338,8788,6319,5262,11587,2743,2230,4974,1545,1428,2971,85,73,158,28194,29291,57485,2953,2842,5789
SED23602,30167,30048,60218,1532,1429,2964,3649,3332,6978,1679,1595,3271,1391,1167,2555,3133,2903,6031,3280,3249,6534,3673,3996,7669,4487,4682,9169,4484,4459,8946,2221,2306,4528,645,931,1574,28545,28665,57205,1624,1389,3014,493,469,963,21,17,37,16,12,27,529,498,1023,24364,24075,48440,3528,3728,7262,26160,26609,52772,1163,1400,2566,26312,26847,53156,444,406,845,3326,3068,6396,1169,1164,2332,261,337,597,410,1076,1486,8701,11322,20024,4293,4241,8536,5923,4468,10387,2350,1858,4206,1445,1270,2715,89,98,193,26451,27408,53855,3457,2491,5949
SED23702,35631,36506,72135,2218,2109,4323,4690,4371,9059,2412,2106,4515,2313,1937,4245,4543,4651,9194,4387,4607,8995,4501,4963,9468,4533,4942,9472,3627,3906,7533,1867,2174,4036,555,744,1298,34403,35383,69786,1229,1122,2352,480,426,908,28,24,50,9,21,26,518,470,985,28867,29317,58184,5145,5674,10817,32449,33150,65601,1561,1782,3344,32380,33191,65567,706,655,1369,4425,4108,8534,1710,1595,3303,672,647,1324,662,1406,2068,11877,15464,27342,4865,4503,9371,6514,5025,11536,2517,2127,4645,1289,1269,2559,112,118,232,33045,34433,67477,2271,1786,4054
SED23806,30794,33623,64418,1321,1314,2631,3542,3325,6859,2049,1994,4036,2567,2661,5227,5246,5514,10758,4011,4473,8485,3891,4449,8343,3373,3775,7146,2663,3176,5835,1567,1983,3547,576,962,1543,29593,32246,61841,1201,1373,2574,84,75,155,3,4,5,6,0,6,87,74,163,21023,22332,43358,8754,10237,18993,23060,24430,47489,6696,8111,14806,26038,28198,54237,492,467,961,3412,3223,6632,1908,1853,3761,1665,1656,3322,1572,1931,3505,20971,23233,44206,1517,1856,3374,1281,1401,2675,645,626,1265,424,569,993,90,125,211,28726,31244,59968,1542,1741,3283
SED23901,32755,34885,67639,1824,1767,3590,4023,4022,8049,1922,1752,3677,2027,1988,4017,4621,4792,9412,4771,4990,9754,4309,4603,8915,3849,4207,8053,2953,3358,6312,1688,2141,3835,762,1264,2023,31814,33902,65719,937,985,1920,216,209,419,4,9,15,9,6,13,230,223,448,22850,23948,46800,8712,9797,18508,23576,24495,48073,7955,9210,17162,28507,30251,58758,613,615,1227,3840,3852,7692,1663,1577,3243,981,1133,2113,1281,1818,3101,18736,20460,39196,2443,2294,4736,2288,2348,4629,1083,1121,2199,917,1399,2316,238,303,542,30775,32958,63729,2111,2051,4159
SED24006,30886,33144,64029,1224,1141,2368,4174,3969,8145,2591,2384,4975,2362,2150,4509,3400,3337,6737,3267,3997,7266,4316,5084,9401,4116,4406,8524,2910,3284,6196,1763,2126,3884,759,1263,2027,29871,32086,61956,1020,1055,2070,89,78,163,7,4,12,0,0,6,97,84,181,19173,19476,38651,10865,12750,23612,19244,19603,38846,10763,12562,23325,26042,27356,53398,464,434,899,4037,3843,7878,2431,2263,4695,1519,1409,2929,1131,1491,2628,19954,21574,41526,1637,1921,3565,1447,1608,3058,772,813,1579,604,887,1494,191,245,437,29227,31385,60611,1298,1386,2679
SED24105,37791,38146,75941,2176,2111,4293,4761,4485,9247,2388,2273,4657,2810,2515,5326,5747,5447,11199,5306,5634,10941,4690,5006,9696,4240,4209,8444,3242,3566,6809,1842,2009,3846,581,903,1479,37024,37446,74473,771,701,1465,88,85,170,6,5,9,4,0,9,92,95,185,16900,15905,32805,19549,20987,40541,14570,13690,28264,21555,22821,44378,29499,29799,59299,615,607,1225,4468,4223,8684,2029,1997,4030,1355,1336,2692,1295,1750,3046,18730,18765,37494,2651,2418,5068,3538,3213,6750,1544,1647,3194,1765,2504,4270,1207,1609,2815,36171,36559,72728,1369,1398,2767
SED24207,51479,50294,101777,3706,3546,7252,7915,7602,15518,3226,3117,6337,3510,2992,6501,8214,7956,16173,8916,8586,17500,6471,6472,12948,4561,4624,9186,3269,3561,6827,1403,1402,2812,297,436,735,50703,49565,100261,778,736,1512,457,218,678,8,3,18,6,13,18,476,232,708,24986,23275,48266,24054,24718,48766,18599,17674,36267,28188,29535,57721,39241,39454,78692,996,940,1939,7325,7048,14371,2598,2698,5301,1394,1435,2830,1666,2406,4068,23174,24222,47393,3247,2876,6124,5643,3889,9530,1759,1783,3541,2234,2694,4930,987,1362,2351,47300,47744,95044,4100,2458,6559
SED24308,35054,35453,70504,2044,1967,4009,4217,4167,8380,2208,2092,4298,2335,2169,4503,5634,5153,10785,4435,4480,8915,4446,4507,8954,4073,4138,8210,3254,3673,6927,1769,2118,3887,645,992,1635,33946,34383,68329,1111,1067,2176,690,661,1349,29,13,40,17,22,34,729,692,1420,25061,25334,50404,7893,7977,15870,25298,26510,51803,6592,6815,13413,28831,30457,59296,589,554,1150,3857,3818,7677,1595,1605,3197,640,814,1451,910,1513,2425,11799,13776,25571,4291,3840,8131,5932,4658,10592,2256,2245,4502,1912,2202,4108,447,510,954,31519,32772,64283,3334,2366,5697
SED24408,28965,29495,58458,1539,1558,3098,3548,3230,6783,1701,1485,3190,1411,1295,2706,3159,3105,6260,2869,3087,5959,3388,3652,7038,4379,4407,8784,3970,3894,7869,2197,2507,4705,793,1281,2075,27576,28286,55862,1386,1213,2595,499,522,1025,24,18,40,13,12,26,538,554,1086,24801,25004,49803,2092,2447,4537,26033,26464,52500,1080,1208,2287,26265,26660,52926,419,462,875,3285,3012,6295,1169,1085,2256,230,299,530,409,932,1339,8328,10586,18914,4602,4482,9084,4923,4139,9066,2289,1850,4132,1644,1481,3133,127,114,245,26442,27004,53446,2415,2389,4804
SED24504,32077,32966,65038,1701,1651,3352,4432,4267,8702,2045,1850,3892,1353,1198,2551,2688,2816,5500,3840,4310,8155,4792,5180,9964,4660,4843,9502,4048,4195,8241,2038,1947,3984,481,715,1202,30742,31740,62485,1330,1226,2557,325,245,567,17,13,25,7,5,16,346,264,606,25773,26646,52411,4398,4431,8827,28845,29486,58334,1454,1675,3127,28993,29893,58897,535,486,1020,4167,4020,8188,1617,1508,3119,458,485,946,620,1291,1917,13338,16240,29578,3809,3409,7212,4229,3291,7514,1828,1405,3230,975,871,1850,59,68,132,29652,30598,60253,2014,2054,4070
SED24606,28480,31665,60148,1318,1230,2552,3108,2988,6094,1675,1796,3468,2116,2269,4380,4454,4711,9166,3629,3943,7567,3749,4341,8091,3209,3689,6899,2682,3297,5983,1825,2223,4053,712,1177,1891,27218,30261,57473,1266,1404,2671,77,71,146,3,4,7,8,0,7,90,79,166,19409,21232,40647,8022,9311,17333,21456,23335,44798,5921,7169,13092,24251,26947,51196,501,404,902,2983,2874,5854,1538,1684,3220,1326,1438,2756,1207,1618,2828,19155,21428,40581,1474,1968,3441,1186,1443,2631,579,637,1213,483,630,1111,93,155,250,26508,29467,55978,1469,1744,3208
SED24703,61443,62763,124206,1829,1753,3578,2616,2501,5116,2551,3173,5722,10487,11961,22444,21557,21468,43021,9656,8682,18338,4842,4818,9660,3736,3841,7578,2604,2763,5368,1219,1272,2489,352,535,890,59152,60233,119387,2291,2525,4817,322,265,582,12,8,17,20,15,29,351,286,637,25352,24018,49369,31461,34215,65678,30428,28193,58624,26076,29926,56005,34123,33465,67590,472,423,892,2367,2241,4607,2182,2747,4926,6832,8003,14828,6959,8359,15314,45975,47854,93823,2478,2284,4755,2115,1779,3894,748,667,1416,578,765,1350,378,537,911,52498,53888,106384,10890,10062,20951
SED24808,47997,49684,97680,4164,3993,8166,7898,7648,15537,2881,2844,5727,2927,2832,5756,7269,8042,15318,7426,7537,14965,5536,5657,11193,4320,4702,9022,3627,4033,7657,1591,1735,3321,360,661,1020,46892,48622,95511,1107,1067,2169,754,811,1566,26,13,34,20,32,50,799,859,1653,31848,32911,64756,13197,13791,26992,32444,33741,66185,12403,12799,25206,39458,40522,79975,1060,1120,2178,7186,6955,14135,2069,2177,4243,840,932,1780,1165,2355,3521,16826,19710,36537,4893,4699,9595,6718,5965,12682,2852,2569,5428,1785,1956,3738,395,527,917,45014,46497,91512,2743,2968,5709
SED24904,33203,33565,66771,1915,1854,3769,4290,4103,8401,1951,1803,3753,1890,1705,3592,4441,4446,8886,3876,4023,7895,4029,4183,8212,4437,4471,8908,3719,3680,7397,1974,2139,4111,675,1151,1833,31681,32345,64026,1524,1223,2748,1336,1511,2843,36,20,57,41,50,96,1415,1579,2993,25263,26045,51310,4958,4784,9741,25761,26689,52451,4639,4290,8932,27385,28245,55628,552,524,1075,3818,3697,7518,1262,1287,2547,326,429,759,590,1246,1838,9354,11419,20773,4109,3915,8024,5628,4880,10508,2563,2308,4876,2086,1998,4083,419,403,825,29971,30416,60393,3292,3198,6487
SED25003,35308,36114,71427,2240,2144,4381,4791,4521,9307,2371,2128,4497,2509,2260,4770,5226,5235,10462,5186,5264,10458,4563,5030,9600,4144,4546,8690,2703,2865,5574,1178,1383,2568,387,739,1128,34691,35513,70206,619,606,1218,293,363,657,0,3,0,8,4,16,304,367,671,21514,21930,43441,12385,12697,25085,18940,19041,37981,14736,15255,29993,29821,30485,60306,690,639,1332,4528,4239,8774,1910,1856,3767,999,1070,2064,1162,1744,2902,16422,17837,34255,3287,3045,6331,3730,3203,6939,1584,1478,3069,1414,1777,3195,397,486,885,33785,34296,68084,1331,1669,2999
SED25102,29081,29305,58387,1742,1545,3288,4039,3679,7717,1895,1737,3634,1607,1499,3103,3094,3140,6231,3751,4099,7852,4257,4389,8643,3870,4074,7942,3075,3176,6255,1392,1431,2821,352,554,900,28039,28346,56380,1041,964,2006,178,193,375,6,3,10,8,7,14,195,204,398,23397,23328,46728,4777,5160,9930,26250,26253,52502,1861,2153,4011,26643,26837,53479,557,521,1073,3871,3551,7422,1552,1456,3011,590,693,1286,683,1248,1935,12567,15030,27592,3646,3181,6829,3850,3060,6917,1528,1118,2642,685,657,1345,85,81,166,27633,27890,55520,917,990,1909
SED25205,31571,34226,65798,1878,1804,3683,4399,4152,8553,1977,1963,3939,1659,1635,3288,3406,3714,7118,4560,5003,9567,4826,5317,10143,3921,4255,8183,2737,3197,5936,1576,2080,3655,634,1104,1736,30703,33314,64015,871,914,1786,159,163,316,10,9,23,4,3,10,170,171,343,23059,24503,47566,7569,8748,16324,25517,27291,52807,5034,5894,10931,28321,30586,58905,613,643,1250,4249,4012,8255,1716,1748,3455,799,854,1654,879,1379,2260,15847,18508,34357,3182,3055,6237,3084,3028,6111,1224,1304,2528,807,1030,1839,137,178,314,30201,32661,62862,990,1176,2163
SED25302,31037,34221,65261,1521,1446,2970,4449,4247,8695,2185,2069,4252,1452,1390,2840,2100,2133,4230,3283,3873,7160,4522,5164,9688,3973,4349,8324,3774,4685,8456,2768,3370,6138,1009,1497,2509,29675,32828,62506,1363,1393,2756,219,184,410,10,5,20,6,5,11,239,199,434,23379,25568,48951,6459,7283,13747,28265,30915,59176,1611,1980,3593,28097,30904,58998,571,522,1089,4267,4062,8328,1790,1750,3550,617,684,1300,562,1111,1681,14145,16948,31088,3628,3725,7355,3822,3783,7605,1476,1566,3046,741,932,1673,65,69,135,28915,31802,60716,1494,1933,3434
SED25402,33338,34916,68256,1954,1934,3879,4389,4022,8409,1973,1919,3898,1907,1936,3845,4205,4501,8706,3849,4116,7961,3984,4239,8216,4458,4894,9346,3942,4046,7990,2033,2277,4307,643,1049,1690,31927,33599,65523,1412,1321,2730,637,641,1276,31,41,70,13,22,32,684,698,1380,26706,27785,54492,4050,4497,8548,28792,30001,58797,2094,2436,4531,29406,30795,60204,514,526,1042,3988,3645,7627,1330,1391,2720,399,559,961,685,1346,2029,9654,12236,21890,4910,4645,9562,5916,5231,11146,2317,2370,4687,1647,1738,3388,162,170,331,30404,31729,62133,2963,3184,6152
SED25501,32335,33325,65663,1336,1282,2618,4367,4084,8456,2232,2055,4287,2506,2086,4596,4137,3641,7779,4241,4822,9066,4194,4590,8785,3699,3909,7606,2702,3083,5784,1949,2512,4457,969,1264,2230,31701,32717,64419,632,611,1240,51,66,122,0,0,3,0,3,3,61,68,127,14071,13793,27862,17193,18437,35633,13328,13140,26462,17835,18983,36822,23695,24050,47750,522,487,1011,4187,3912,8089,2036,1924,3956,1527,1310,2830,1364,1718,3078,19793,20234,40023,1847,2012,3856,1883,2068,3956,956,1012,1969,753,1094,1845,218,343,563,30943,31863,62806,1417,1543,2954
SED25605,31752,31895,63639,1597,1515,3112,3649,3415,7056,1777,1587,3366,2146,1798,3943,4673,4093,8765,4269,4283,8550,3946,4049,7990,3384,3612,6995,3072,3648,6714,2372,2529,4903,873,1368,2241,31083,31219,62299,664,677,1339,106,94,200,9,10,20,7,6,7,117,109,221,14607,14144,28746,15748,16435,32192,13542,12956,26494,16683,17476,34158,24538,24884,49423,495,478,969,3447,3234,6682,1544,1436,2976,1163,1027,2188,1259,1489,2747,17003,16893,33902,2237,2058,4299,2543,2517,5058,1177,1241,2422,1434,1894,3331,557,732,1296,30080,30072,60151,1560,1640,3200
SED25704,31906,32861,64766,1676,1704,3384,4060,3891,7952,1890,1692,3582,1629,1584,3216,3355,3532,6890,3249,3515,6759,3803,4039,7841,4624,4694,9321,4239,4180,8420,2498,2698,5196,877,1328,2206,30380,31539,61919,1525,1322,2846,960,995,1956,29,23,58,22,24,48,1011,1048,2063,26783,27494,54273,2507,2847,5356,27789,28699,56484,1693,1816,3508,28287,29183,57467,426,426,845,3697,3573,7265,1295,1261,2560,297,440,739,404,1048,1455,7970,10941,18912,4558,4690,9254,6144,5050,11195,2935,2348,5281,1958,1663,3623,181,138,323,28923,29863,58785,2843,2828,5670
SED25802,37736,39422,77157,2303,2223,4531,5099,4787,9888,2211,2155,4371,1994,1928,3920,4465,4919,9381,4249,4461,8708,4526,4934,9458,4976,5402,10382,4633,4852,9485,2562,2690,5246,726,1065,1795,36159,37974,74136,1579,1451,3026,527,532,1064,20,21,40,13,9,21,557,564,1120,30749,31949,62698,4393,4892,9286,33642,35093,68732,1731,2005,3741,33866,35403,69269,639,548,1183,4694,4390,9075,1596,1689,3286,483,652,1133,634,1533,2170,11206,14972,26178,5140,5052,10192,6868,5735,12600,2902,2478,5382,1787,1694,3481,135,138,274,34764,36369,71130,2378,2527,4904
SED25905,33780,34213,67990,2127,2021,4143,4411,4167,8577,2220,1990,4213,2528,2255,4782,4893,4827,9721,4413,4487,8897,4151,4583,8735,4328,4559,8885,2924,2993,5917,1339,1504,2843,450,822,1273,33103,33589,66694,672,620,1298,140,202,342,10,8,13,0,5,10,154,210,369,18189,18078,36271,13925,14506,28433,17870,17702,35572,14014,14567,28585,27892,28256,56143,605,539,1145,4104,3849,7959,1762,1677,3441,1009,992,1997,987,1570,2557,15212,16484,31697,3131,2785,5919,3902,3360,7259,1549,1483,3036,1289,1528,2816,584,769,1350,31862,32203,64068,1710,1884,3594
SED26005,43457,43046,86498,2927,2685,5617,7194,6679,13871,3520,3232,6754,3358,3052,6407,5582,5729,11304,6392,6679,13074,6136,6333,12469,4577,4517,9090,2489,2618,5100,1055,1153,2210,226,367,596,42693,42370,85064,764,677,1440,213,261,471,5,10,19,11,3,19,233,275,510,22731,22174,44909,18958,19193,38151,22720,22069,44783,18629,18867,37492,34837,34193,69030,802,674,1475,6739,6266,13003,2847,2786,5636,1334,1448,2784,1333,2205,3542,19061,20346,39399,3778,3436,7216,4681,3932,8619,1873,1706,3583,1472,1600,3076,872,1120,1996,41694,41333,83023,1517,1535,3048
SED26102,32547,34406,66960,1477,1321,2797,3374,3176,6553,1564,1487,3049,1297,1260,2556,2653,2832,5487,3042,3376,6421,4083,4343,8423,4720,5418,10134,5621,5920,11544,3523,3757,7279,1211,1509,2714,30311,32271,62577,2239,2141,4379,326,307,625,13,14,27,7,9,14,349,327,670,24814,26148,50959,5071,5511,10580,28174,29833,58001,1998,2138,4141,28938,30612,59552,434,396,826,3059,2883,5943,1124,1129,2251,420,482,902,491,1083,1575,13182,15258,28440,4118,4281,8402,4815,4479,9291,1871,1812,3683,1155,1341,2503,129,138,260,28967,30780,59749,3541,3792,7332
SED26207,30081,31722,61796,1710,1517,3223,3725,3511,7234,1786,1715,3499,1816,1551,3367,3517,3517,7034,4003,4211,8215,4191,4416,8613,3468,3847,7317,2809,3503,6307,2168,2675,4851,880,1253,2133,29391,30982,60370,689,737,1429,129,97,224,4,5,11,7,8,19,145,111,250,21068,21406,42475,8035,9276,17316,20140,20380,40529,8917,10307,19227,27174,28545,55715,545,507,1050,3580,3369,6946,1555,1554,3108,833,786,1620,732,1097,1834,14491,16031,30524,2923,2702,5625,2915,2653,5567,1318,1388,2699,1585,2248,3831,297,471,773,28865,30345,59204,977,1152,2133
SED26303,32028,35242,67269,1686,1649,3334,3439,3333,6769,1526,1542,3064,1770,1895,3658,6136,7158,13292,5494,5901,11395,4736,5106,9848,3356,3705,7065,2088,2459,4553,1254,1605,2858,556,888,1441,30861,33834,64696,1164,1408,2574,203,225,434,9,10,17,9,8,15,222,245,472,23089,25075,48160,7866,9065,16931,24170,26024,50190,6727,8080,14803,28327,31138,59468,543,571,1116,3317,3221,6539,1364,1381,2746,908,1029,1936,1737,2793,4534,19796,22969,42762,1872,1676,3547,1775,1515,3293,778,756,1533,1182,1603,2783,326,511,839,30137,33106,63244,1382,1384,2768
SED26406,36351,36777,73129,1856,1666,3518,3531,3315,6854,1860,1920,3778,3923,3680,7604,7621,7128,14750,5324,5200,10525,4270,4451,8717,3391,3638,7033,2357,2701,5061,1493,1981,3470,723,1099,1820,35532,35798,71332,821,974,1800,132,104,239,7,3,11,4,3,8,139,116,254,19183,18980,38168,15675,16515,32196,19459,19013,38471,15311,16365,31674,26659,27416,54075,610,531,1137,3375,3180,6559,1671,1772,3445,2558,2474,5031,2320,2565,4881,22941,23791,46732,2153,1799,3952,2029,1862,3897,888,847,1741,1079,1605,2682,271,426,692,33342,33652,66998,2916,2841,5757
SED26504,29246,30468,59712,1437,1452,2888,3652,3444,7097,1708,1568,3280,1262,1248,2510,2904,3022,5921,3073,3315,6389,3607,3940,7548,4165,4383,8547,4160,4243,8402,2475,2682,5161,798,1176,1980,27661,29056,56720,1583,1415,2994,476,485,966,12,13,30,23,22,43,518,522,1038,24154,25092,49246,3034,3283,6312,25656,26718,52374,1708,1860,3561,26201,27260,53458,429,430,853,3357,3185,6542,1181,1196,2379,253,356,610,509,1088,1591,8736,11338,20072,4088,4086,8177,5471,4660,10138,2265,1884,4149,1517,1439,2958,104,117,223,26552,27761,54309,3055,3115,6172
SED26603,38903,40578,79479,2570,2505,5072,4282,4139,8422,1833,1714,3545,2778,2514,5291,7585,7652,15241,6593,6640,13229,4845,5080,9924,3666,3916,7585,2289,2684,4975,1500,2113,3618,959,1626,2584,38022,39638,77665,878,945,1815,231,242,471,6,3,6,8,12,18,237,255,492,23954,25152,49111,13155,13685,26842,22712,23450,46158,14308,15191,29501,31170,33310,64479,773,757,1526,4066,3900,7967,1509,1503,3006,1355,1352,2705,1951,2664,4622,21116,22618,43734,2769,2456,5222,2830,2525,5357,1310,1267,2581,1632,2468,4099,444,663,1106,36804,38167,74972,1868,2096,3964
SED26708,32793,32505,65296,1823,1653,3482,4242,3882,8124,1990,1762,3751,1576,1296,2872,3508,3431,6942,3554,3811,7364,4169,4226,8393,4728,4839,9568,4341,4227,8571,2215,2306,4524,638,1067,1709,31041,30960,62004,1752,1539,3288,368,360,732,10,19,30,15,7,24,392,384,778,27438,27232,54675,2999,3072,6070,29309,29207,58514,1352,1290,2643,29371,29232,58607,519,496,1015,3909,3559,7464,1432,1378,2810,346,412,757,504,1060,1563,10342,13337,23678,4810,4301,9112,5378,4021,9397,2432,1842,4277,1495,1319,2816,131,113,243,29760,29694,59455,2890,2908,5799
SED26806,35623,37937,73559,1212,1206,2420,1705,1697,3397,926,989,1916,2482,3229,5712,11032,11983,23016,6568,6144,12710,3983,3925,7908,3240,3244,6487,2390,2818,5208,1527,1795,3325,553,898,1452,34010,36128,70140,1607,1806,3413,188,144,338,8,3,10,4,3,11,204,156,360,20574,21517,42092,12702,14020,26718,25227,25946,51177,7969,9485,17450,26507,27748,54255,354,347,703,1561,1578,3135,765,838,1603,1215,1580,2800,2422,3250,5672,25950,28056,54003,1745,1714,3454,1487,1409,2895,521,458,974,445,564,1009,136,206,337,31999,34093,66101,3724,3489,7212
SED26903,34135,35203,69342,2110,1928,4038,3462,3186,6649,1419,1380,2797,2239,2094,4338,6746,6738,13486,5603,5726,11328,4464,4524,8996,3389,3610,6997,2352,2663,5016,1538,2063,3596,817,1286,2099,33293,34316,67612,838,889,1729,407,424,830,15,5,24,13,13,30,438,447,883,20577,21101,41675,11805,12419,24224,19321,19804,39127,12982,13624,26605,27218,28581,55801,631,548,1175,3228,3012,6239,1157,1179,2335,1044,1099,2148,1910,2345,4255,18138,19272,37406,2461,2159,4619,2664,2314,4975,1185,1248,2432,1779,2490,4269,506,736,1245,32211,33245,65457,1756,1740,3501
SED27003,37102,38572,75675,1497,1525,3028,2321,2425,4742,910,1139,2047,2397,2937,5337,11450,12047,23498,6864,6235,13098,4323,4200,8524,3551,3377,6923,2305,2640,4941,1116,1416,2533,376,636,1005,35319,36749,72064,1786,1822,3607,200,208,411,11,0,12,4,0,10,221,215,435,24502,24656,49160,10520,11964,22479,27960,27889,55846,7027,8696,15723,30383,31538,61915,424,431,854,2128,2248,4381,739,970,1707,1109,1459,2570,2457,3269,5725,26455,27454,53911,1734,1536,3275,1553,1379,2937,575,642,1215,659,1112,1773,262,518,783,33818,35388,69202,2952,2828,5780
