SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED23901,18,130,2321,8303,5107,1123,169,152,17328,5,307,1470,767,64,6,6,33,2656,3,56,837,1338,245,15,0,37,2527,11,360,2307,2101,309,16,3,67,5181,12,312,1041,316,26,0,3,21,1733,0,53,286,56,5,0,0,3,406,0,250,531,56,4,0,0,6,854,0,181,99,15,0,0,0,0,299,0,8,4,0,0,4,0,0,11,12,801,1970,447,37,3,7,34,3308,0,0,19,9,0,0,0,0,31,0,9,14,0,0,0,0,3,32,37,1300,6634,10870,5457,1148,181,262,25879
SED24006,6,46,954,4842,6034,2432,388,126,14826,3,51,1137,1025,122,13,5,23,2374,0,22,339,1156,454,48,3,13,2037,3,76,1476,2182,578,60,3,37,4413,12,116,985,217,31,0,3,14,1381,0,117,800,136,11,0,0,15,1075,3,203,507,199,17,0,0,3,933,0,7,18,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,18,442,2306,558,56,0,3,34,3418,0,6,19,14,0,0,0,3,55,0,0,3,9,0,0,0,0,17,27,575,4759,7597,6670,2489,401,195,22728
SED24105,16,78,1076,9418,6965,1615,275,244,19691,3,188,950,535,52,9,0,29,1764,3,6,426,662,260,19,3,22,1397,8,195,1369,1198,312,25,3,50,3164,0,123,516,215,39,0,0,19,917,10,19,30,13,0,0,0,0,71,0,9,85,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,21,9,158,641,237,40,0,0,20,1110,13,31,10,3,3,0,0,6,66,0,12,0,4,0,0,0,0,17,40,472,3100,10856,7323,1641,279,322,24037
SED24207,35,81,723,12462,11694,1810,218,418,27432,0,32,366,427,113,9,3,34,991,0,10,161,666,190,12,8,18,1062,0,48,523,1089,304,23,5,48,2051,0,27,47,44,3,0,0,3,121,0,0,60,0,0,0,0,0,62,0,40,190,5,0,0,0,6,246,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,79,301,56,4,0,0,6,439,17,77,9,5,0,0,0,3,108,0,4,3,7,10,4,0,3,32,51,286,1554,13616,12012,1833,227,479,30068
SED24308,24,226,2638,12992,5767,731,156,364,22895,3,524,1069,509,52,7,0,55,2220,5,47,151,158,29,4,0,4,399,9,567,1221,663,85,7,0,60,2612,0,68,290,104,5,0,0,8,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,69,292,107,5,0,0,8,485,8,28,43,32,26,0,0,0,138,0,4,4,8,4,0,0,0,24,37,898,4199,13798,5888,741,164,437,26159
SED24408,39,342,2947,11982,5634,861,187,382,22366,4,225,433,92,17,0,3,21,790,0,5,7,11,3,0,0,3,24,4,227,442,99,20,0,3,24,819,0,169,319,44,4,0,5,17,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,169,324,44,4,0,5,17,562,11,31,25,24,9,4,3,7,122,0,9,9,12,9,0,0,0,40,60,778,3738,12161,5673,863,202,425,23904
SED24504,43,397,2330,9480,7874,1504,335,239,22193,0,152,505,347,34,4,0,14,1067,0,0,42,45,0,0,0,3,91,0,159,550,386,33,4,0,15,1157,0,7,8,18,0,0,0,0,39,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,14,0,10,16,35,4,0,0,0,64,3,40,24,41,17,4,8,0,136,0,3,4,10,6,3,4,4,30,54,605,2923,9948,7937,1518,351,263,23588
SED24606,4,47,803,3563,3955,1333,229,78,10002,3,111,1188,981,127,15,3,41,2469,0,41,553,1254,377,38,7,21,2297,3,153,1736,2242,508,49,10,59,4763,41,827,2173,644,40,5,3,78,3809,24,904,2000,401,17,15,3,31,3394,29,500,893,268,9,0,0,27,1719,0,78,212,49,3,0,0,0,340,0,0,0,0,0,0,0,0,8,88,2298,5274,1364,62,22,9,140,9264,8,95,142,38,9,0,0,8,297,0,4,10,9,9,0,0,0,25,102,2599,7960,7213,4536,1414,249,285,24364
SED24703,0,51,470,689,307,77,23,11,1642,6,315,1882,1315,349,48,12,30,3964,33,435,1797,2308,875,169,63,50,5741,45,757,3677,3630,1222,220,73,87,9704,24,577,801,296,33,9,5,26,1778,119,1036,1785,425,37,4,5,42,3454,282,2703,4347,618,53,3,3,95,8102,962,10849,17170,2658,96,8,19,424,32187,0,0,0,4,0,0,0,0,12,1389,15174,24107,4003,222,28,28,587,45539,3,35,68,43,15,3,0,0,172,14,50,81,16,3,0,0,18,186,1455,16066,28399,8377,1777,328,126,701,57238
SED24808,26,77,924,12786,13257,1583,296,491,29441,0,232,1105,793,129,3,7,47,2322,0,12,64,275,28,0,0,7,376,0,245,1166,1069,158,10,7,51,2704,0,36,41,31,6,0,0,0,113,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,3,14,8,0,3,0,0,25,3,54,57,39,4,3,0,3,160,3,24,8,11,3,0,0,0,48,0,0,5,3,15,5,0,6,31,38,400,2155,13902,13437,1595,302,555,32380
SED24904,35,256,2259,11704,5838,789,158,410,21451,15,205,830,507,31,0,0,51,1643,0,0,21,52,10,0,0,0,84,15,205,853,556,42,0,4,53,1730,9,224,746,123,3,4,3,41,1145,0,4,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,9,232,761,122,3,4,3,41,1169,38,168,57,42,26,3,0,22,355,0,16,29,26,10,3,0,9,92,94,876,3961,12452,5919,803,161,531,24804
SED25003,11,42,755,9743,7958,1025,135,269,19934,9,33,619,767,352,22,4,32,1827,0,9,381,656,203,24,3,19,1301,9,45,1002,1423,556,42,5,46,3130,0,3,20,18,0,0,0,0,46,0,35,127,4,0,0,0,5,172,0,9,170,19,0,0,0,3,197,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,11,4,51,317,36,0,0,0,6,424,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,18,138,2080,11210,8512,1067,145,326,23494
SED25102,33,274,1729,8652,6774,1696,388,168,19713,0,53,173,90,25,3,0,6,347,0,25,17,31,5,6,0,0,90,0,77,188,121,32,4,0,8,431,0,61,63,28,0,0,0,4,164,0,5,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,3,0,0,0,18,0,70,82,28,8,0,0,0,195,0,3,0,9,5,0,0,0,20,0,6,0,5,0,5,0,0,18,34,437,2005,8815,6817,1699,394,183,20384
SED25205,13,70,1039,6823,5265,978,133,100,14425,0,276,1855,1292,173,8,5,40,3649,0,29,505,1362,418,45,12,19,2374,0,308,2358,2656,587,51,15,51,6023,16,500,2392,1116,107,9,8,56,4205,0,48,259,35,13,0,0,8,357,0,12,45,5,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,22,556,2704,1153,115,13,8,66,4634,0,11,39,15,0,0,0,0,67,0,4,4,0,9,0,0,0,17,32,951,6136,10653,5975,1041,150,222,25163
SED25302,7,89,1526,8610,7570,1756,316,158,20027,0,87,886,607,46,6,0,44,1679,0,0,110,564,130,7,0,5,820,0,83,998,1174,172,15,0,46,2494,0,101,749,374,14,0,0,19,1266,0,21,32,10,0,0,0,0,64,0,0,34,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,8,11,0,7,0,0,0,24,0,132,824,393,17,4,0,19,1400,3,32,83,9,0,0,0,3,129,0,0,3,5,4,0,0,6,17,13,339,3439,10186,7774,1775,322,230,24064
SED25402,28,196,2017,13322,6694,916,160,372,23705,27,278,608,153,9,0,0,36,1118,0,5,59,42,3,0,5,0,121,27,289,668,195,14,0,7,33,1244,19,317,942,119,12,0,0,56,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,19,314,944,119,12,0,0,50,1464,7,23,43,7,3,0,0,0,89,3,6,10,4,9,0,0,0,36,79,832,3680,13652,6734,920,167,467,26536
SED25501,8,61,816,6292,6503,2219,343,161,16412,6,32,382,476,246,38,6,9,1195,0,0,55,416,557,41,6,7,1080,6,33,437,894,802,80,10,15,2273,3,58,919,1718,415,33,4,28,3172,3,49,134,30,0,0,0,0,221,3,33,96,26,0,0,0,0,156,0,104,262,17,0,0,0,7,392,0,0,4,0,0,0,0,0,9,9,243,1414,1793,412,39,0,34,3950,0,0,4,4,0,0,0,0,8,0,3,0,6,0,0,5,0,12,23,341,2677,8985,7720,2338,359,212,22657
SED25605,18,75,998,8135,6537,1523,233,220,17731,4,194,702,459,94,7,4,33,1491,0,7,197,675,193,19,0,16,1118,3,199,901,1131,291,29,7,51,2607,3,396,624,301,37,7,0,21,1388,0,21,160,35,0,0,0,3,226,6,55,160,26,0,0,0,8,256,0,0,0,0,0,0,0,0,0,0,8,6,0,4,0,0,0,23,9,483,948,362,35,7,0,42,1888,8,71,8,3,0,0,0,7,103,0,6,4,5,0,0,0,3,22,40,836,2859,9633,6868,1556,243,319,22348
SED25704,38,270,2311,11929,6456,913,179,434,22527,14,302,1105,237,22,9,0,70,1750,0,9,6,15,0,0,0,0,26,14,306,1102,256,22,9,0,71,1781,0,151,182,36,5,0,0,21,388,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,153,183,36,5,0,0,20,395,39,115,65,50,16,3,0,29,312,3,7,11,13,10,4,0,6,59,94,849,3674,12280,6498,919,189,559,25072
SED25802,32,251,2534,12008,9361,1314,281,392,26177,3,188,888,257,23,3,0,47,1405,0,36,13,15,0,4,0,0,75,0,228,903,271,22,4,0,50,1476,0,155,560,124,3,5,0,24,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,160,557,125,3,0,0,23,873,24,92,202,12,5,0,0,17,346,0,3,8,15,9,0,4,6,42,57,727,4202,12430,9398,1318,288,490,28921
SED25905,24,76,865,9566,6924,1476,290,261,19475,0,34,461,532,190,28,0,33,1277,0,0,102,415,195,78,15,10,813,3,34,563,946,387,105,12,44,2086,0,0,178,64,6,0,0,5,258,0,3,8,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,6,0,0,0,17,0,6,192,73,8,0,0,3,292,0,52,35,0,0,0,0,0,94,0,0,0,3,5,0,0,0,11,25,169,1657,10587,7319,1586,302,312,21957
SED26005,22,65,598,9789,11205,1732,233,299,23948,0,10,182,418,197,18,4,13,839,0,0,103,315,94,23,0,5,542,0,9,282,728,289,37,3,22,1382,0,0,37,51,5,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,12,0,9,45,52,4,0,0,0,107,0,0,8,5,0,0,0,0,8,5,0,0,3,3,0,0,0,11,23,91,929,10583,11506,1769,235,328,25455
SED26102,32,214,3052,12032,6585,1396,285,372,23965,0,112,841,482,47,6,3,40,1538,0,0,117,392,133,11,5,10,670,0,111,956,878,181,20,4,49,2207,0,39,163,114,8,0,0,11,337,0,0,33,20,0,0,0,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,43,200,138,13,0,0,15,406,11,87,137,29,3,0,0,3,267,0,3,5,6,3,0,0,5,22,47,468,4344,13084,6779,1415,285,437,26867
SED26207,16,56,1069,8998,5444,1035,129,182,16927,3,65,890,1052,87,7,6,34,2142,0,9,585,1631,686,74,5,29,3013,6,79,1472,2678,771,79,7,66,5161,0,59,313,297,11,3,0,5,693,0,22,12,3,0,0,0,0,38,0,32,17,4,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,16,0,119,354,304,11,3,0,8,800,0,8,15,29,3,0,0,3,52,0,5,4,4,3,0,0,0,18,23,263,2914,12012,6231,1125,132,258,22961
SED26303,17,139,2635,7115,3081,574,116,99,13767,3,243,1559,986,150,18,6,31,3002,6,497,1569,1376,226,21,3,19,3722,6,743,3125,2364,379,40,5,49,6717,29,1662,1599,184,18,4,0,27,3537,13,316,451,60,3,0,0,16,850,3,780,1444,105,4,0,3,15,2358,7,198,73,3,0,0,0,4,289,0,0,3,0,6,0,0,0,15,64,2956,3571,365,27,5,4,60,7044,4,34,86,39,3,3,0,0,173,0,10,4,0,3,0,0,0,23,90,3882,9421,9884,3494,621,124,212,27729
SED26406,28,66,1476,6709,3925,920,206,137,13472,13,258,2381,1232,174,15,8,50,4129,3,40,454,1364,561,53,38,22,2526,16,297,2830,2598,730,69,46,76,6653,42,1684,2055,387,70,11,5,49,4310,15,190,604,39,4,0,3,6,864,28,704,1579,135,23,0,0,23,2498,0,64,289,20,0,0,0,7,383,0,0,3,0,3,0,0,0,10,86,2648,4541,584,97,10,8,83,8068,0,4,15,6,0,0,0,0,23,0,10,13,5,5,0,0,0,36,124,3026,8879,9903,4759,1002,259,301,28257
SED26504,48,271,2250,11053,6181,833,182,398,21208,9,335,1136,245,22,3,0,172,1922,0,18,30,34,18,0,0,4,108,13,352,1163,279,36,8,0,177,2026,3,14,34,10,5,0,0,0,70,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,7,4,25,37,10,11,0,0,0,85,17,72,59,31,13,0,0,12,211,0,3,10,19,3,0,3,7,45,77,727,3519,11391,6240,842,179,597,23578
SED26603,19,125,2796,9945,4000,661,130,212,17896,7,262,2287,840,55,0,6,48,3508,13,140,3073,2639,364,16,4,80,6324,24,402,5360,3477,421,23,8,131,9828,22,196,829,166,11,4,0,19,1242,0,87,311,13,0,0,0,5,415,6,165,239,27,6,5,0,6,457,0,23,55,0,0,0,0,0,81,0,0,5,4,0,0,0,0,19,26,481,1443,207,17,6,0,29,2217,0,14,25,16,3,5,0,0,62,4,3,14,6,0,0,0,0,32,73,1020,9640,13654,4453,692,135,373,30042
SED26708,56,342,2453,11440,7138,1112,277,348,23170,3,240,497,180,31,4,0,45,1008,3,4,38,73,13,4,3,3,139,14,244,538,256,34,7,8,52,1143,0,21,20,23,0,0,0,0,71,0,0,3,3,0,0,0,0,10,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,10,0,33,28,25,5,5,0,0,90,12,58,13,21,17,0,3,9,136,3,11,7,21,6,3,0,0,51,89,678,3045,11755,7207,1124,284,411,24594
SED26806,4,82,916,1570,821,209,49,33,3688,10,134,1427,1094,169,26,8,24,2884,0,108,754,1202,267,42,8,21,2399,10,242,2177,2294,432,68,15,47,5285,58,883,2060,498,68,7,8,55,3633,158,3546,4797,687,22,12,6,94,9331,158,2312,2431,570,20,0,0,67,5564,171,3178,5006,1109,43,0,0,109,9630,0,6,4,0,0,0,0,0,19,546,9930,14305,2872,161,23,15,323,28165,0,33,50,25,5,0,5,0,109,3,22,22,12,4,0,0,14,62,565,10301,17471,6758,1418,303,77,413,37314
SED26903,12,218,3261,9148,2999,559,116,222,16535,10,778,3353,1007,86,12,5,115,5358,4,204,1941,1296,116,12,0,47,3625,17,980,5289,2299,199,25,4,165,8983,20,286,565,76,6,3,0,20,976,22,134,189,42,10,0,0,7,409,27,123,336,14,0,0,0,3,506,0,13,54,7,0,0,0,0,78,0,0,8,5,0,4,0,0,17,75,560,1154,143,15,6,3,35,1984,8,36,73,36,9,0,0,0,166,0,0,5,0,0,0,0,11,20,104,1793,9787,11635,3225,589,127,431,27690
SED27003,4,96,1156,1957,680,129,18,34,4072,8,457,3362,2146,492,48,15,57,6585,14,262,1801,2623,644,121,13,39,5513,22,715,5161,4764,1139,173,28,94,12097,63,894,1073,292,38,4,4,28,2396,59,1564,1668,399,30,6,0,42,3778,74,2373,3368,527,23,3,4,51,6423,38,1591,2975,746,14,0,0,106,5470,0,4,12,0,0,0,0,0,24,233,6430,9102,1971,113,10,20,229,18097,0,81,117,69,20,4,0,3,299,0,10,10,3,0,0,0,6,42,265,7333,15556,8759,1945,316,68,362,34610
SED27101,18,178,3541,8914,5092,1003,166,164,19062,18,324,1594,979,83,9,4,60,3059,0,54,368,753,180,11,4,19,1389,18,372,1961,1734,266,18,3,78,4446,0,15,146,48,9,0,0,3,216,0,59,308,22,0,0,0,0,390,0,261,453,88,0,0,0,14,819,0,12,55,5,0,0,0,4,74,0,4,3,12,0,0,0,0,20,0,350,973,170,10,0,0,17,1522,0,0,8,0,0,0,0,0,13,0,6,8,4,0,0,0,0,23,31,905,6481,10827,5370,1019,170,263,25065
SED27208,60,479,3507,12964,6544,861,194,461,25082,12,213,541,129,42,4,0,38,979,3,7,15,16,6,0,3,5,63,20,223,555,147,46,7,4,47,1043,0,138,143,31,6,0,4,16,341,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,154,30,6,0,4,16,354,43,128,85,56,22,5,3,24,354,5,18,11,16,7,0,3,8,67,124,990,4312,13206,6625,880,213,554,26908
SED27305,10,42,448,7139,7643,1685,243,149,17354,0,22,500,236,28,3,0,16,808,0,5,133,245,55,3,0,3,442,0,27,634,482,77,8,0,22,1251,0,0,3,13,0,0,0,0,17,0,15,41,0,0,0,0,0,51,0,7,26,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,8,3,4,0,0,0,22,0,20,79,16,4,0,0,0,124,0,0,0,5,0,0,0,0,4,0,4,0,3,0,0,0,0,7,12,93,1155,7644,7731,1687,246,171,18743
SED27406,0,61,1307,5813,5117,1263,140,100,13802,6,320,2424,1207,104,14,7,34,4104,0,51,534,1570,532,33,6,12,2738,9,374,2958,2772,638,47,6,45,6843,6,356,949,256,23,5,0,31,1626,11,172,615,141,5,0,0,14,960,17,426,923,77,0,0,0,21,1468,0,99,296,27,0,0,0,4,427,0,5,5,3,3,0,0,0,13,36,1057,2789,513,34,5,0,59,4485,0,20,118,30,4,0,0,4,178,0,4,0,6,7,0,0,0,18,40,1516,7182,9138,5788,1317,146,216,25334
SED27504,30,183,2382,12632,7424,931,175,475,24224,13,419,1522,234,50,5,3,77,2329,0,9,34,36,16,0,0,5,104,13,432,1561,268,63,5,3,81,2431,0,25,19,3,0,0,0,5,54,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,37,28,5,0,0,0,5,76,29,151,272,34,4,0,0,34,530,0,7,6,12,10,0,0,3,46,71,811,4248,12955,7512,938,182,596,27308
SED27608,18,122,1811,12048,13158,1721,298,244,29404,13,264,1251,455,180,12,3,59,2237,5,52,149,307,70,5,0,6,600,11,318,1399,764,249,19,5,68,2833,0,3,29,31,0,0,0,0,61,0,19,23,0,0,0,0,0,43,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,28,53,33,0,0,0,0,115,9,14,3,5,0,0,0,5,39,0,0,0,7,12,0,10,0,41,44,491,3267,12853,13419,1740,304,317,32436
SED27708,31,244,2518,11918,6412,1040,193,303,22656,22,245,1218,218,33,0,0,40,1776,0,24,204,134,25,3,0,8,404,23,271,1423,355,58,8,0,44,2186,3,135,399,56,10,0,0,18,622,0,32,12,10,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,169,412,71,6,0,0,20,682,15,33,65,41,20,4,0,7,193,0,6,8,8,6,0,8,4,39,73,733,4430,12389,6507,1043,196,387,25757
SED27807,28,153,1604,11985,4244,746,146,390,19299,0,108,794,1015,131,11,0,48,2108,0,27,569,832,289,38,3,45,1808,0,133,1364,1850,427,56,5,92,3914,7,352,936,426,18,0,0,50,1794,0,22,35,4,0,0,0,3,64,0,4,13,0,0,0,0,0,14,0,35,59,0,0,0,0,0,91,0,7,14,12,0,0,0,3,36,7,426,1044,441,22,0,0,55,1991,7,28,15,22,3,0,0,3,81,0,3,4,17,6,0,0,0,34,44,740,4037,14301,4699,803,156,540,25327
SED27907,16,69,588,10466,8148,1197,184,218,20893,4,102,1007,631,54,4,0,34,1837,0,3,144,396,46,5,0,4,598,6,108,1155,1032,100,4,0,36,2434,8,75,579,356,11,0,0,20,1054,0,8,24,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,11,5,84,608,357,17,0,0,20,1090,0,3,0,4,0,0,0,0,6,0,5,0,4,6,0,0,0,11,28,261,2351,11864,8259,1202,188,268,24432
SED28007,6,29,336,8008,10558,1565,211,268,20992,6,42,543,1248,326,18,3,42,2236,0,0,117,981,147,35,8,21,1304,6,42,660,2225,475,53,5,64,3541,5,104,26,101,9,0,0,8,246,0,7,66,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,5,118,92,103,4,0,0,4,326,0,0,0,0,3,0,0,0,7,0,3,3,0,3,0,0,0,12,15,190,1091,10341,11052,1619,217,339,24875
SED28107,16,79,912,11921,18555,2109,254,615,34464,0,7,447,1404,771,54,3,51,2738,0,0,231,369,171,33,8,9,821,0,12,674,1774,945,85,9,61,3561,0,60,423,268,15,0,0,23,789,0,0,0,0,0,0,0,0,0,0,41,148,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,106,574,268,17,0,0,23,986,0,26,13,5,0,0,0,3,50,0,0,0,10,22,0,0,0,34,23,229,2176,13971,19535,2192,268,699,39093
SED28203,34,115,1140,12484,8369,1028,162,403,23732,0,74,600,332,81,5,0,19,1120,3,23,437,798,73,11,0,26,1374,4,101,1041,1132,153,15,0,47,2487,3,83,536,280,10,0,0,14,933,0,42,22,0,0,0,0,5,65,0,14,110,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,129,670,286,10,0,0,18,1127,0,0,7,13,0,0,0,0,23,0,0,7,11,7,0,0,0,24,42,349,2864,13922,8535,1041,161,467,27393
SED28301,9,44,552,5538,7902,2248,428,105,16819,0,91,576,555,87,7,0,26,1339,0,6,136,832,530,56,0,23,1575,0,101,715,1385,618,61,0,46,2916,10,65,283,355,30,0,0,12,754,0,42,189,39,5,0,0,0,272,0,85,392,60,5,0,0,0,545,0,16,43,7,0,0,0,0,70,0,0,7,3,0,0,0,0,11,12,207,916,463,37,0,0,20,1654,0,4,0,0,0,0,0,0,0,0,0,10,5,0,0,3,0,18,17,359,2189,7386,8554,2307,436,164,21403
